Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033)	1/29	2.011610e-02	4.108562e-02	0	0	5.482967e+01	2.141776e+02	CCL21
GO_Biological_Process_2023	Response To Alcohol (GO:0097305)	1/29	2.011610e-02	4.108562e-02	0	0	5.482967e+01	2.141776e+02	CCL21
GO_Biological_Process_2023	Response To Steroid Hormone (GO:0048545)	1/29	2.011610e-02	4.108562e-02	0	0	5.482967e+01	2.141776e+02	TFPI
GO_Biological_Process_2023	Regulation Of Blood Coagulation (GO:0030193)	1/29	2.011610e-02	4.108562e-02	0	0	5.482967e+01	2.141776e+02	TFPI
GO_Biological_Process_2023	Positive Regulation Of Lipid Kinase Activity (GO:0090218)	1/30	2.080301e-02	4.148293e-02	0	0	5.293634e+01	2.050043e+02	CCL21
GO_Biological_Process_2023	Positive Regulation Of Locomotion (GO:0040017)	1/30	2.080301e-02	4.148293e-02	0	0	5.293634e+01	2.050043e+02	CCL21
GO_Biological_Process_2023	Negative Regulation Of Blood Coagulation (GO:0030195)	1/30	2.080301e-02	4.148293e-02	0	0	5.293634e+01	2.050043e+02	TFPI
GO_Biological_Process_2023	Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	1/30	2.080301e-02	4.148293e-02	0	0	5.293634e+01	2.050043e+02	ANXA1
GO_Biological_Process_2023	Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	1/31	2.148948e-02	4.259973e-02	0	0	5.116923e+01	1.964997e+02	ANXA1
GO_Biological_Process_2023	Muscle Cell Development (GO:0055001)	1/32	2.217550e-02	4.370259e-02	0	0	4.951613e+01	1.885954e+02	RAMP2
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	1/33	2.286107e-02	4.453283e-02	0	0	4.796635e+01	1.812322e+02	RAMP2
GO_Biological_Process_2023	Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)	1/33	2.286107e-02	4.453283e-02	0	0	4.796635e+01	1.812322e+02	CCL21
GO_Biological_Process_2023	Cellular Response To Hydrogen Peroxide (GO:0070301)	1/34	2.354619e-02	4.483089e-02	0	0	4.651049e+01	1.743581e+02	ANXA1
GO_Biological_Process_2023	Positive Regulation Of Organelle Organization (GO:0010638)	1/34	2.354619e-02	4.483089e-02	0	0	4.651049e+01	1.743581e+02	ANXA1
GO_Biological_Process_2023	Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924)	1/34	2.354619e-02	4.483089e-02	0	0	4.651049e+01	1.743581e+02	RAMP2
GO_Biological_Process_2023	Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043551)	1/34	2.354619e-02	4.483089e-02	0	0	4.651049e+01	1.743581e+02	CCL21
GO_Biological_Process_2023	Adherens Junction Organization (GO:0034332)	1/35	2.423087e-02	4.561902e-02	0	0	4.514027e+01	1.679276e+02	RAMP2
GO_Biological_Process_2023	Positive Regulation Of Cell Development (GO:0010720)	1/35	2.423087e-02	4.561902e-02	0	0	4.514027e+01	1.679276e+02	TGM2
GO_Biological_Process_2023	Negative Regulation Of Sequestering Of Calcium Ion (GO:0051283)	1/36	2.491511e-02	4.664662e-02	0	0	4.384835e+01	1.619004e+02	CCL21
GO_Biological_Process_2023	Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036)	1/38	2.628224e-02	4.866546e-02	0	0	4.147401e+01	1.509182e+02	RAMP2
