names,scores,logfoldchanges,pvals,pvals_adj
HAPLN3,2.5821657,,0.009818240019402267,0.868282885075433
EIF2S2,2.579287,,0.009900445274516785,0.873260741045991
ALDH2,2.5742495,,0.010045780961173994,0.876013863006812
BID,2.5742495,,0.010045780961173994,0.876013863006812
ATP5G1,2.5728102,,0.010087652960368109,0.876013863006812
YES1,2.5728102,,0.010087652960368109,0.876013863006812
LINC00152,2.5670528,,0.010256699302881575,0.8861262213110046
TMEM88,2.5512202,,0.010734650288348437,0.9110662640191745
GABARAPL2,2.5469022,,0.010868391266415397,0.9200994355040211
ODF3B,2.5339482,,0.011278543132446209,0.949626918568339
POLE4,2.5332284,,0.011301727142693178,0.949626918568339
RRBP1,2.5296302,,0.011418283071223338,0.9546591310218342
COPRS,2.527471,,0.011488727682116494,0.9554070457659638
CHMP3,2.5267515,,0.01151229478782517,0.9554070457659638
RCAN1,2.5238729,,0.01160699280806989,0.960899301413039
SLIRP,2.5166762,,0.011846768176276591,0.9712043964269184
ZNF580,2.5152369,,0.011895246983979197,0.9728117764033861
NFIB,2.5109189,,0.012041740499910806,0.9796681474165018
SPTLC2,2.510199,,0.01206631095084728,0.9796681474165018
UCHL3,2.4986844,,0.012465526335164128,1.0
CTA-29F11.1,2.4950862,,0.012592657614329322,1.0
PARD6G,2.4850109,,0.01295475248989845,1.0
WBP2,2.482132,,0.013059885905056353,1.0
FTH1,2.4806926,,0.013112735040215666,1.0
PAK2,2.4547846,,0.014096898051340102,1.0
EPAS1,2.4511864,,0.014238620285573107,1.0
NACA,2.4490273,,0.014324255696401358,1.0
CTNNB1,2.434634,,0.014906857525571774,1.0
TSPAN7,2.434634,,0.014906857525571774,1.0
EIF3K,2.4339144,,0.014936527991487501,1.0
RPS4Y1,2.4166424,,0.015664399418285287,1.0
GADD45B,2.4159226,,0.01569539321151826,1.0
IL1R1,2.4159226,,0.01569539321151826,1.0
PRMT1,2.415203,,0.015726440939298605,1.0
BNIP3L,2.4144833,,0.015757542679373508,1.0
NEDD9,2.3943326,,0.016650638543152123,1.0
SNCA,2.3943326,,0.016650638543152123,1.0
KRAS,2.3734624,,0.017622190402656703,1.0
LYNX1,2.3619478,,0.01817920875508069,1.0
HES1,2.3576295,,0.018392031419943156,1.0
CD63,2.3554707,,0.018499258234281977,1.0
C2CD4B,2.33532,,0.01952671160294097,1.0
RPGR,2.3331609,,0.019639698443321404,1.0
SLC25A5,2.3324413,,0.019677487404018427,1.0
HMGN3,2.331002,,0.019753255867767543,1.0
CHMP4B,2.331002,,0.019753255867767543,1.0
TOMM20,2.326684,,0.019982091873183068,1.0
PFDN5,2.3194873,,0.020368629281214835,1.0
SMAD9,2.311571,,0.020801338775623807,1.0
FLOT1,2.3079727,,0.02100065943618002,1.0
SLC24A1,2.3065333,,0.021080852494138817,1.0
NEDD8,2.302935,,0.021282503408228244,1.0
CCNL1,2.3014956,,0.021363632972884246,1.0
NDUFA13,2.2978973,,0.02156763620617172,1.0
TPD52L1,2.2950187,,0.02173205779320675,1.0
CD151,2.294299,,0.021773333253114917,1.0
BAG1,2.287822,,0.022147892698710182,1.0
PDLIM4,2.2871022,,0.022189854350200763,1.0
AKR1C2,2.2849433,,0.022316154415510134,1.0
PSMA2,2.279186,,0.02265601497764718,1.0
PTGS2,2.279186,,0.02265601497764718,1.0
PTGFRN,2.2777467,,0.022741679671944237,1.0
PDE4D,2.2719893,,0.023087158979655333,1.0
HNRNPA1,2.2611942,,0.023747230824392777,1.0
IGLC7,2.2453616,,0.02474493004594752,1.0
COX5A,2.240324,,0.02506990240278579,1.0
KIAA0355,2.2388847,,0.025163427652156144,1.0
SNHG25,2.2374454,,0.02525725477304319,1.0
RPL14,2.2144158,,0.02680018301985159,1.0
OAZ2,2.212257,,0.026948920304198997,1.0
PLA2G16,2.2100978,,0.027098369696353375,1.0
COX7C,2.2043405,,0.027500403449351854,1.0
PCDH17,2.1885078,,0.028632628714874445,1.0
SRGN,2.1755538,,0.02958863663766923,1.0
PGRMC1,2.173395,,0.02975061149713142,1.0
MTX2,2.1676376,,0.030186276625268446,1.0
LYSMD2,2.1640391,,0.030461342196198005,1.0
STAT3,2.1625998,,0.03057196976467732,1.0
